date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,3.3,-6,14.4,0,,,8,,,
2015-01-02,5.3,-4,16.2,0,,,7.4,,,
2015-01-03,9.1,-2,18,0,,256,15.7,,,
2015-01-04,8.4,-1,18,0,,,17.5,,,
2015-01-05,7.7,2,16,0,,303,11.8,,,
2015-01-06,5.8,-5,15,0,,,8.2,,,
2015-01-07,10.9,1,19,0,,204,23.5,,,
2015-01-08,8.9,2,14.2,0,,251,32.2,,,
2015-01-09,2.1,-8,11,0,,,10.2,,,
2015-01-10,0.8,-5,9,0,,301,14.1,,,
2015-01-11,1.4,-7,9,0,,,5.5,,,
2015-01-12,1.9,-3,11.2,0,,,13.2,,,
2015-01-13,-0.4,-9,12,0,,,7,,,
2015-01-14,0.6,-11,12.6,0,,,7.5,,,
2015-01-15,2.1,-8,12,0,,,7.7,,,
2015-01-16,6.7,-3,16.4,0,,,15.1,,,
2015-01-17,4.1,-4,12.6,0,,,12.3,,,
2015-01-18,2.2,-6,9,0,,,7.8,,,
2015-01-19,1.2,-4,6.6,0,,,11.9,,,
2015-01-20,-0.7,-10,8.6,0,,,6.6,,,
2015-01-21,-0.1,-12,11.4,0,,,7,,,
2015-01-22,2.7,-8,12.2,0,,,5.5,,,
2015-01-23,4,-7,13.6,0,,313,11,,,
2015-01-24,1.7,-7,10,0,,,8.3,,,
2015-01-25,1.1,-9,12.6,0,,,7.1,,,
2015-01-26,5.8,-7,15,0,,,6.7,,,
2015-01-27,9.1,4,16.2,0,,215,17.3,,,
2015-01-28,6,-3,13,0,,,5.6,,,
2015-01-29,9.1,-2,21,0,,,13,,,
2015-01-30,6.9,0,16.6,0,,,8.9,,,
2015-01-31,9.9,2,19,0,,271,23.3,,,
2015-02-01,5.4,-4,17.6,0,,300,10.1,,,
2015-02-02,6.4,-5,19,0,,,6.7,,,
2015-02-03,7.2,-4,18.2,0,,,7.6,,,
2015-02-04,9.8,-2,19.4,0,,,11.1,,,
2015-02-05,8.2,,19.8,0,,,,,,
2015-02-06,5.1,-4,16.2,0,,,6.8,,,
2015-02-07,6.3,-8,18.2,0,,215,9.2,,,
2015-02-08,8.5,1,16.6,0,,,12.9,,,
2015-02-09,10.7,3,19,0,,204,16.8,,,
2015-02-10,10.1,0,17,0,,189,18.7,,,
2015-02-11,13.3,4,21,0,,224,22.9,,,
2015-02-12,11.5,6,19,4.1,,185,21.1,,,
2015-02-13,9.9,0,20,1,,,16.5,,,
2015-02-14,10.1,1,20,0,,200,19.4,,,
2015-02-15,8.8,2,16,0,,240,21.9,,,
2015-02-16,6.9,-1,13,0,,203,13,,,
2015-02-17,10.1,2,16,0,,223,22.9,,,
2015-02-18,8.6,,,2,,,,,,
2015-02-19,7.3,-4,15.6,0,,,10.4,,,
2015-02-20,9,2.8,16.4,0,,205,17,,,
2015-02-21,3.8,0,9,2.5,,255,26.4,,,
2015-02-22,0.4,-7,7,0,,59,12.5,,,
2015-02-23,0.7,-4,7,0,,315,13.8,,,
2015-02-24,2.1,-6,10.8,0,,301,10.7,,,
2015-02-25,3.7,-6,10.8,0,,,5.8,,,
2015-02-26,5.2,1,10.6,0,,338,17.6,,,
2015-02-27,2.7,-4,9.4,0.3,,30,11.7,,,
2015-02-28,3.6,-7,14.2,0,,,5.9,,,
2015-03-01,7.2,-5,19.2,0,,,9.7,,,
2015-03-02,9.3,1,17.8,0,,269,16.4,,,
2015-03-03,7.8,1,16.4,0,,272,13.1,,,
2015-03-04,5.5,-1,13.8,,,299,13.6,,,
2015-03-05,7,-2,16.6,0,,291,14.1,,,
2015-03-06,5.5,0,14.4,0,,321,19.7,,,
2015-03-07,6.5,-5,16.6,0,,,6.7,,,
2015-03-08,9.1,-3,20.8,0,,276,11.1,,,
2015-03-09,9.1,-1,18,0,,,16.1,,,
2015-03-10,5.6,0,14,0.5,,4,15,,,
2015-03-11,2.3,-3,8.4,2.8,,26,13.9,,,
2015-03-12,3.8,-8,15,0,,,8.8,,,
2015-03-13,7.4,-3,17.2,0,,,7.3,,,
2015-03-14,11.7,2.8,20,0,,,9.5,,,
2015-03-15,11.8,1,20.2,0,,253,12.3,,,
2015-03-16,12.8,4,21,0,,283,11.8,,,
2015-03-17,13.9,6,21.6,0,,,13.1,,,
2015-03-18,12,6,19.2,0,,237,12.4,,,
2015-03-19,11.9,7,18.4,3.3,,,7.9,,,
2015-03-20,11.2,7,18.6,0,,145,15.3,,,
2015-03-21,12.1,3,20.8,8.9,,150,13.3,,,
2015-03-22,13,8.4,21,0.3,,168,15.5,,,
2015-03-23,8.7,3,14.4,7.6,,273,25.8,,,
2015-03-24,7.1,-3,15.2,0,,,6.7,,,
2015-03-25,7.8,-1,17.8,0,,294,9.9,,,
2015-03-26,11.4,2,20,0,,269,16.5,,,
2015-03-27,7.3,5,12.8,7.1,,240,12.3,,,
2015-03-28,8.9,0,17.6,0.5,,,4.5,,,
2015-03-29,12.8,0,20.4,0,,,9.1,,,
2015-03-30,12.6,7,19,0.5,,196,11.1,,,
2015-03-31,14.8,9,22,0.5,,266,23.5,,,
2015-04-01,12.5,0,19.6,0,,290,12.6,,,
2015-04-02,13.2,7,20.8,0,,289,10.9,,,
2015-04-03,15.4,5,24.2,0,,,8.8,,,
2015-04-04,16.1,5,25,0,,286,15,,,
2015-04-05,14.9,5,23.4,0,,301,15.1,,,
2015-04-06,16.5,4,25,0,,9,10.7,,,
2015-04-07,17,4,27,0,,,9.9,,,
2015-04-08,17.9,11,26,0,,312,15.3,,,
2015-04-09,16.6,5,26.4,0,,298,11.3,,,
2015-04-10,18.5,5,27,0,,,13.8,,,
2015-04-11,20,15,26,0,,264,15.4,,,
2015-04-12,20.7,12,28,0,,208,16.3,,,
2015-04-13,17.6,11,26,0,,227,32.3,,,
2015-04-14,12.7,1,23.8,0,,,15.8,,,
2015-04-15,14.7,-1,25,0,,,14.9,,,
2015-04-16,17.2,11,24,0,,,13.4,,,
2015-04-17,16.1,11,23,0,,258,29.2,,,
2015-04-18,12.9,9,22.4,7.4,,231,17.2,,,
2015-04-19,14.3,2,23.2,0,,,13.3,,,
2015-04-20,17,5,26,0,,265,12.7,,,
2015-04-21,18.6,6,27.2,0,,262,14,,,
2015-04-22,20.7,10,29,0,,214,19,,,
2015-04-23,19.7,9,28,0,,229,24.8,,,
2015-04-24,21.6,11,30,0,,222,23.3,,,
2015-04-25,19.4,13,27,0,,255,33.8,,,
2015-04-26,14.2,3,22.2,0,,83,11.4,,,
2015-04-27,18.3,2,27,0,,339,11.7,,,
2015-04-28,19.2,13,27,0,,286,16.5,,,
2015-04-29,17.7,7,27,0,,,8.7,,,
2015-04-30,20.2,9,29.4,0,,,8.7,,,
2015-05-01,21.7,8,31.6,0,,285,14.6,,,
2015-05-02,22.4,13,30.4,0,,280,14,,,
2015-05-03,19,11,27,0,,,16.5,,,
2015-05-04,20.7,7,29.2,0,,,11.8,,,
2015-05-05,21.6,14,28.6,0,,251,16.6,,,
2015-05-06,16.6,14,21,1.8,,338,15.7,,,
2015-05-07,14.3,10,24.2,5.3,,314,16.3,,,
2015-05-08,16.9,6,26.8,13.7,,,12,,,
2015-05-09,18,13,25.4,0,,,13.4,,,
2015-05-10,17.7,,,1,,,,,,
2015-05-11,19.6,,,0,,,,,,
2015-05-12,21.5,10,30.4,0,,,10.8,,,
2015-05-13,23,14,30.6,0,,262,15.1,,,
2015-05-14,24.1,14,31.4,0,,263,19.1,,,
2015-05-15,22.6,18,29,0,,253,26.9,,,
2015-05-16,20.3,12,29.6,0,,312,15.2,,,
2015-05-17,20.1,10,27.2,0,,294,11.9,,,
2015-05-18,21.6,9,30.2,0,,301,10.7,,,
2015-05-19,22.8,10,33,0,,21,10.2,,,
2015-05-20,23.8,13,33,0,,260,12.3,,,
2015-05-21,25.1,12,33.2,0,,301,19.4,,,
2015-05-22,24.4,15,32.6,0,,297,9.7,,,
2015-05-23,24.7,15,34,0,,268,21.7,,,
2015-05-24,23.6,12,33,0,,270,15.5,,,
2015-05-25,24.4,15,32.2,0,,263,17.9,,,
2015-05-26,24.3,13,31.2,0,,293,17.2,,,
2015-05-27,23.6,14,31,0,,297,20.3,,,
2015-05-28,23.5,11,31,0,,281,10.3,,,
2015-05-29,26,16,34,0,,282,12,,,
2015-05-30,26.3,16,34.4,0,,352,10.4,,,
2015-05-31,27.1,16,35.2,0,,,12.9,,,
2015-06-01,28.8,17,36.2,0,,290,11.4,,,
2015-06-02,29.2,19,37,0,,235,13.7,,,
2015-06-03,28.9,17,37,0,,11,11.6,,,
2015-06-04,27.3,17,35.8,0,,312,12,,,
2015-06-05,28.2,15,36,0,,258,15.2,,,
2015-06-06,28.6,17,36,0,,,12.4,,,
2015-06-07,27.6,14,35.6,0,,257,10,,,
2015-06-08,28.6,16,36.6,0,,121,14.5,,,
2015-06-09,28.6,19,36,0,,94,16.9,,,
2015-06-10,28.1,21,35.2,0,,39,15.1,,,
2015-06-11,29.3,19,36,0,,,10.2,,,
2015-06-12,29.4,17,37.6,0,,315,10.6,,,
2015-06-13,29.6,18,38.4,0,,349,10.2,,,
2015-06-14,29.4,17,39,0,,86,13.4,,,
2015-06-15,29.4,17,39,0,,275,14.3,,,
2015-06-16,27.6,18,35,0,,254,20.7,,,
2015-06-17,26.1,18,34.8,0,,272,18.5,,,
2015-06-18,26.1,13,33,0,,272,19.4,,,
2015-06-19,26.8,16,35.4,0,,298,13.2,,,
2015-06-20,28.6,15,37.4,0,,305,10.5,,,
2015-06-21,30.1,19,39.8,0,,,10.9,,,
2015-06-22,30.7,19,39.6,0,,,12.8,,,
2015-06-23,30.4,17,39.6,0,,301,11.1,,,
2015-06-24,30,17,38.4,0,,317,13.3,,,
2015-06-25,31,19,39,0,,110,10.2,,,
2015-06-26,30.2,23,38,0,,,18.5,,,
2015-06-27,28.7,20,36.2,0,,324,15.2,,,
2015-06-28,30.2,22,37,0,,303,16.1,,,
2015-06-29,30.5,21,39,0,,270,12,,,
2015-06-30,31.5,20,40,0,,94,13.5,,,
2015-07-01,31.7,20,39.2,0,,37,14.3,,,
2015-07-02,29.6,21,37.4,0,,33,13.7,,,
2015-07-03,29.5,17,37.2,,,259,10.9,,,
2015-07-04,30.6,18,38.2,0,,20,13.3,,,
2015-07-05,29.9,19,37.2,0,,18,12.9,,,
2015-07-06,30.4,18,37,0,,44,11.6,,,
2015-07-07,30.4,20,38.2,0,,,11.5,,,
2015-07-08,28.5,17,37,0,,106,11.5,,,
2015-07-09,28.1,16,37,0,,,9.4,,,
2015-07-10,29.2,17,37.4,0,,279,10.1,,,
2015-07-11,30,20,38.2,0,,,11.9,,,
2015-07-12,29,16,38,0,,240,11.1,,,
2015-07-13,29.4,18,38.2,0,,330,10.5,,,
2015-07-14,29.4,18,38.6,0,,339,12.6,,,
2015-07-15,29.2,16,38,0,,276,12.3,,,
2015-07-16,29.8,16,37.2,,,344,9.8,,,
2015-07-17,29.6,16,38,0,,174,12.6,,,
2015-07-18,30.1,19,37.4,0,,103,13.9,,,
2015-07-19,30.2,22,37,0,,107,13,,,
2015-07-20,22.5,16,31.6,0,,15,25,,,
2015-07-21,22.6,15,29,,,279,12.6,,,
2015-07-22,25.7,17,32,0,,,7.7,,,
2015-07-23,26.1,18,31,,,,9.3,,,
2015-07-24,26,20,33,,,112,12.5,,,
2015-07-25,26,17,33,0,,205,8.8,,,
2015-07-26,26.5,14,35,0,,,8.1,,,
2015-07-27,27.8,15,36,0,,130,10.1,,,
2015-07-28,28.9,16,37,0,,358,11,,,
2015-07-29,29.7,19,37,0,,70,10.4,,,
2015-07-30,28.4,17,36,0,,123,11,,,
2015-07-31,27.2,16,35,0,,17,12.5,,,
2015-08-01,27.4,16,35,0,,,10.3,,,
2015-08-02,27.5,14,36,0,,15,11.9,,,
2015-08-03,25.8,15,34.6,0,,68,12.1,,,
2015-08-04,25.5,14,34.2,0,,336,12,,,
2015-08-05,26.2,12,34.6,0,,313,11.5,,,
2015-08-06,26.7,15,35.6,0,,50,9.8,,,
2015-08-07,27.9,13,36.2,0,,315,8.7,,,
2015-08-08,28.5,16,37,0,,115,10.1,,1013.2,
2015-08-09,28.6,17,37,0,,114,10.3,,1011.4,
2015-08-10,27.3,17,35.8,0,,63,10.6,,1011.5,
2015-08-11,27.6,18,35,0,,117,11.8,,1013,
2015-08-12,27.9,19,36.2,0,,68,11.3,,,
2015-08-13,26.6,15,35.4,0,,65,9.5,,1013.3,
2015-08-14,26.7,12,36,0,,339,11.6,,1013.2,
2015-08-15,26.6,14,35.4,0,,334,12.1,,1012.3,
2015-08-16,26.8,14,36.6,0,,272,12,,1012.5,
2015-08-17,26.7,12,36,0,,255,11.9,,1011.1,
2015-08-18,27.8,13,37.4,0,,300,10.5,,1010.9,
2015-08-19,28.1,14,38,0,,289,13.5,,1012.8,
2015-08-20,28.2,15,37.2,0,,306,11.9,,1012.8,
2015-08-21,27.7,15,36,0,,300,12.2,,1011.6,
2015-08-22,27,17,37,0,,99,9.4,,1009.7,
2015-08-23,28.1,16,38.8,0,,280,12.9,,1007.1,
2015-08-24,27.8,18,37.4,,,289,15.9,,1007,
2015-08-25,26.8,17,37.2,0,,289,13.1,,,
2015-08-26,27.4,16,37,0,,268,10.9,,,
2015-08-27,26.8,16,37.8,0,,338,11.7,,,
2015-08-28,26,14,35.4,0,,336,13.1,,1013.3,
2015-08-29,26.7,16,35,0,,317,12.4,,1013.5,
2015-08-30,26,17,35,0,,257,11.2,,1012.9,
2015-08-31,26.8,16,34,0,,301,7.9,,1013.6,
2015-09-01,26.3,19,35,0,,247,19.1,,1009.8,
2015-09-02,24.3,18,31,0,,8,16.9,,1012.1,
2015-09-03,23.1,15,30.2,0,,108,11.7,,,
