date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,7.3,0,14.6,0,,,4.2,,,
2015-01-02,4.6,-0.1,12,0,,,7.9,,,
2015-01-03,5.3,0.4,11.4,0,,,7.6,,,
2015-01-04,7.7,1,12.2,0,,,8.8,,,
2015-01-05,9.2,5,13.5,0,,236,9.3,,,
2015-01-06,8.2,0,16.8,0,,,5.4,,,
2015-01-07,10.9,1.4,20.4,0,,,7.2,,,
2015-01-08,10.1,5,22,0,,175,15.3,,,
2015-01-09,0.4,-2,5,0.3,,134,14.4,,,
2015-01-10,0.2,-2.3,2.5,5.1,,,6.6,,,
2015-01-11,4.5,0.4,9,12.2,,,7.9,,,
2015-01-12,3.9,1,9.6,0,,,8,,,
2015-01-13,4.8,-1.3,13,0,,,5.9,,,
2015-01-14,4.2,-0.7,10.6,,,,12,,,
2015-01-15,4.5,-1,12,0,,,4.4,,,
2015-01-16,7.6,-0.4,18.1,,,,5.5,,,
2015-01-17,5.4,1.8,11.4,0,,,10.2,,,
2015-01-18,2.1,1,3.2,,,129,10.9,,,
2015-01-19,1.5,0,4.4,0,,299,23.3,,,
2015-01-20,0.1,-2,4,,,4,15.1,,,
2015-01-21,1.8,-3.1,9,0,,272,9.3,,,
2015-01-22,4.2,-2,12.2,0,,,5,,,
2015-01-23,1.7,-1.3,4.1,0,,127,13.4,,,
2015-01-24,0.2,-2,4.4,0,,103,18.3,,,
2015-01-25,-0.6,-2.6,3.5,,,102,13.8,,,
2015-01-26,-2.2,-4,-0.6,0,,103,14.1,,,
2015-01-27,2.3,-3.1,8.8,0,,,6.3,,,
2015-01-28,2.1,-2,9.7,0,,,8.6,,,
2015-01-29,5.9,-2.3,14,0,,,7.6,,,
2015-01-30,8.2,4,15.7,0,,,5.7,,,
2015-01-31,5.6,2,16,0.3,,292,16.6,,,
2015-02-01,4.2,0.4,9,0,,,8.6,,,
2015-02-02,3.9,1,10.4,0,,,8,,,
2015-02-03,7.6,-1.4,17,0,,,6.4,,,
2015-02-04,12.2,4.4,21.7,,,,,,,
2015-02-05,10.8,7,18.6,0,,,,,,
2015-02-06,6.1,3,10.4,3.6,,55,15.8,,,
2015-02-07,6.8,3,13.1,0,,71,10.3,,,
2015-02-08,9.6,1.8,16.4,,,,8.4,,,
2015-02-09,13.6,6,17.2,0,,241,15.2,,,
2015-02-10,16.1,9.9,22,0,,205,17.4,,,
2015-02-11,14.7,11,20.9,0,,140,14.4,,,
2015-02-12,11.4,8,19,0,,128,12.8,,,
2015-02-13,10.6,8,16,3.8,,116,14.9,,,
2015-02-14,8.4,7,11.2,0,,126,12.4,,,
2015-02-15,3.9,2.4,6.5,15.2,,128,14.7,,,
2015-02-16,5.6,2.4,9.8,3.6,,97,8.8,,,
2015-02-17,9.2,4.4,14.6,0,,117,10.5,,,
2015-02-18,8.3,7,11.2,0,,63,10.7,,,
2015-02-19,5.8,5,7.1,5.6,,116,15.6,,,
