date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,2,-5.5,9.6,0,,,,,,
2015-01-02,5.6,,15.2,0,,,,,,
2015-01-03,3.9,-1.4,12,0,,,,,,
2015-01-04,1.5,-4.6,10.2,0,,,,,,
2015-01-05,3.7,-4.4,10.2,0.5,,,,,,
2015-01-06,6.5,,13.3,0,,,,,,
2015-01-07,8.7,3.6,13.4,0,,,,,,
2015-01-08,1.1,,4.8,0.5,,,,,,
2015-01-09,-1.6,,3.2,0,,,,,,
2015-01-10,-1.8,-6.8,3.8,,,,,,,
2015-01-11,-0.5,,4.2,0,,,,,,
2015-01-12,-0.9,-8.2,8.2,0,,,,,,
2015-01-13,-0.3,,,0,,,,,,
2015-01-14,1.4,-7.5,13.2,0,,,,,,
2015-01-15,3.7,-6,14.2,0,,,,,,
2015-01-16,5.6,,10,4.1,,,,,,
2015-01-17,3.3,-1.8,9.6,0,,,,,,
2015-01-18,3.4,,7.2,0.3,,,,,,
2015-01-19,1,,6.4,0,,,,,,
2015-01-20,0.7,-7.4,9.1,0,,,,,,
2015-01-21,1.9,,12,0,,,,,,
2015-01-22,3.9,-5.4,17,0,,,,,,
2015-01-23,3.4,,11.8,0,,,,,,
2015-01-24,2,-5.2,11.2,0,,,,,,
2015-01-25,1.3,,13.4,0,,,,,,
2015-01-26,3.6,,15.8,0,,,,,,
2015-01-27,7,-2.2,16.6,0,,,,,,
2015-01-28,4.2,,9.8,0,,,,,,
2015-01-29,9.7,2,14,1.3,,,,,,
2015-01-30,9.8,4.8,14.6,0,,,,,,
2015-01-31,6.4,,13,3.8,,,,,,
2015-02-01,5.8,,14.4,0,,,,,,
2015-02-02,5.7,,18,0,,,,,,
2015-02-03,8.4,,18.1,0,,,,,,
2015-02-04,12.7,8.2,18,0,,,,,,
2015-02-05,7.9,,14.8,0,,,,,,
2015-02-06,3.4,,16,0,,,,,,
2015-02-07,5.1,-5.2,17,0,,,,,,
2015-02-08,13.1,6.6,17,0,,,,,,
2015-02-09,12,,17.2,,,,,,,
2015-02-10,10.7,,16,,,,,,,
2015-02-11,8.1,,14.4,5.1,,,,,,
2015-02-12,5.9,,11.6,3.6,,,,,,
2015-02-13,1.8,-4.3,12.2,0,,,,,,
2015-02-14,2.8,-2.4,11.6,0,,,,,,
2015-02-15,2.8,-4.2,11.4,0,,,,,,
2015-02-16,1.5,-0.2,6.4,0,,,,,,
2015-02-17,4.6,0,11.6,,,,,,,
2015-02-18,4.3,-3.2,12.4,0,,,,,,
2015-02-19,4.4,-1,11.5,0,,,,,,
2015-02-20,1.7,-0.6,7,0.5,10,,,,,
2015-02-21,-0.4,,2.5,9.9,10,,,,,
2015-02-22,0.2,-3.2,4.4,0,,,,,,
2015-02-23,1.1,-4.8,6.4,0,,,,,,
2015-02-24,0.7,,10.2,0,,,,,,
2015-02-25,5.7,-1,10.6,0,,,,,,
2015-02-26,6.7,0.2,12.6,0,,,,,,
2015-02-27,5.8,-2.8,15,0,,,,,,
2015-02-28,5.1,-4.3,18,0,,,,,,
2015-03-01,9.3,1.6,16,0,,,,,,
2015-03-02,6.2,-2.9,13.4,0,,,,,,
2015-03-03,5.4,-0.4,9.8,0,,,,,,
2015-03-04,5.8,1.3,11.6,1.5,,,,,,
2015-03-05,6.1,1.8,12.2,0,,,,,,
2015-03-06,4.3,-3.6,13.2,0,,,,,,
2015-03-07,7.3,,18.6,0,,,,,,
2015-03-08,8.9,-1.3,20,0,,,,,,
2015-03-09,9.6,-1.1,19,0,,,,,,
2015-03-10,7.2,1,12,0,,,,,,
2015-03-11,8.1,,17.8,0,,,,,,
2015-03-12,8.7,-4.2,20.6,0,,,,,,
2015-03-13,12.7,,18.4,0,,,,,,
2015-03-14,9.3,1,19.4,0,,,,,,
2015-03-15,10.3,1,19.6,0,,,,,,
2015-03-16,10.4,,18.4,0,,,,,,
2015-03-17,9.8,7,14.4,0,,210,18.2,,,
2015-03-18,8.9,0.8,18.6,0,,,6.9,,,
2015-03-19,10.2,-3,20.2,0,,,6.7,,,
2015-03-20,10.4,6,16.8,10.9,,187,17.6,,,
2015-03-21,10.7,6,16.4,0,,182,20.4,,,
2015-03-22,7.2,2,14,,,211,19.6,,,
2015-03-23,3,-1.4,9.4,,,211,10.1,,,
2015-03-24,6.1,-1.6,14.2,0,,,4.2,,,
2015-03-25,8,4,16,0,,,7.5,,,
2015-03-26,5,2,8.4,,,166,9.4,,,
2015-03-27,7.6,0,15.8,0,,,3.5,,,
2015-03-28,8.6,1,18,0,,,3.8,,,
