date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,9.3,4,13,0,,,6.4,,,
2015-01-02,10.8,6.8,15.4,0,,,14.1,,,
2015-01-03,9.8,6,14,0,,286,13.9,,,
2015-01-04,8.5,5,12.4,0,,284,22.3,,,
2015-01-05,7.8,1.6,21.4,0,,,13,,,
2015-01-06,10,4.4,15,0,,,4.3,,,
2015-01-07,11.3,3.7,16.4,0,,,5.3,,,
2015-01-08,5.8,2,11,0,,284,21.9,,,
2015-01-09,2.7,-2,7,,,,12.2,,,
2015-01-10,2.8,1,5.6,0,,,10.9,,,
2015-01-11,4.2,0,7.4,,,,12.5,,,
2015-01-12,4.1,-1,9,0,,277,16.2,,,
2015-01-13,6.1,1.9,12,,,,4.5,,,
2015-01-14,6.1,1.6,11.2,,,,5.6,,,
2015-01-15,7.1,3,11.4,,,,6.3,,,
2015-01-16,9,5.9,14,,,,4.8,,,
2015-01-17,8.1,6,12,0,,,9.8,,,
2015-01-18,5.8,2.5,9,,,245,12.7,,,
2015-01-19,3.9,0.8,8,,,250,13.2,,,
2015-01-20,4.4,1,8.4,0,,,7,,,
2015-01-21,5.6,0.7,11.2,0,,,4.3,,,
2015-01-22,6.5,1.8,9.5,0,,,4.5,,,
2015-01-23,5.7,1,9.4,0,,,10.4,,,
2015-01-24,4.9,3,8.2,0,,,6.6,,,
2015-01-25,5.1,1.4,9.2,0,,,7.6,,,
2015-01-26,5.9,2,9.2,,,,6.8,,,
2015-01-27,6.7,4,11.2,0,,,7.1,,,
2015-01-28,7.6,1.6,11,0,,,6,,,
2015-01-29,9.8,6.6,13,,,,5.3,,,
2015-01-30,10.7,7.8,14,,,,8,,,
2015-01-31,9.5,6,12.4,4.3,,281,31.8,,,
2015-02-01,8.6,3,14,,,,12.9,,,
2015-02-02,8.8,4,13.8,0,,,4.8,,,
2015-02-03,10.9,5.6,16.4,0,,,6.3,,,
2015-02-04,11.4,9,15.4,,,,4.6,,,
2015-02-05,9.6,,14.4,,,,,,,
2015-02-06,8.3,4,13.2,0,,,10.1,,,
2015-02-07,9.2,3.6,13.8,0,,,3.7,,,
2015-02-08,11.9,8.4,15.4,,,,10.9,,,
2015-02-09,12.8,9.2,16,,,,5.7,,,
2015-02-10,11.4,8.9,14.2,0,,,8.6,,,
2015-02-11,11.4,9.2,13.2,5.3,,,8.8,,,
2015-02-12,11,9.9,14,0,,,10,,,
2015-02-13,11.2,7,15.7,,,277,14.2,,,
2015-02-14,10.7,7,16,,,,10.6,,,
2015-02-15,8.4,4,12.6,0,,280,17.4,,,
2015-02-16,7,3.8,10.6,,,,8.4,,,
2015-02-17,9.5,4.4,14.8,1.5,,,7.3,,,
2015-02-18,10.6,6.4,15,0,,,15.5,,,
2015-02-19,8.5,6,10.8,1,,127,10.6,,,
2015-02-20,6.9,5,9.4,2.5,,130,13.6,,,
2015-02-21,4.4,0,9,0,,259,15.8,,,
2015-02-22,1.1,-3,6.4,0,,275,21.1,,,
