,tmax_tehran
tmax_tehran,1.0
daylight_hours_sanandaj,0.8445348439245707
daylight_hours_tehran,0.8445348439245707
daylight_hours_isfahan,0.8445348439245707
daylight_hours_mashhad,0.8445348439245707
daylight_hours_rasht,0.8445348439245707
season_isfahan,0.5643715344260174
season_rasht,0.5643715344260174
season_mashhad,0.5643715344260174
season_sanandaj,0.5643715344260174
season_tehran,0.5643715344260174
wspd_lag_3_mashhad,0.3275881400628368
wspd_lag_2_mashhad,0.2993591226794131
wspd_mashhad,0.28291672346986046
wspd_lag_1_mashhad,0.2741793781457378
wind_v_mashhad,0.23221708699292745
wind_v_tehran,0.20371902393178382
day_of_year_rasht,0.1998313481340284
day_of_year_mashhad,0.1998313481340284
day_of_year_isfahan,0.1998313481340284
day_of_year_tehran,0.1998313481340284
day_of_year_sanandaj,0.1998313481340284
wspd_isfahan,0.16385440314203517
wspd_lag_3_isfahan,0.16049794293521513
wind_u_mashhad,0.15797586875363445
wdir_sanandaj,0.15762987325014663
wdir_lag_1_sanandaj,0.1543613319793033
wdir_lag_3_sanandaj,0.15234622389487285
wspd_lag_3_tehran,0.14999716895674256
wdir_lag_2_sanandaj,0.1485134477381309
wspd_lag_2_isfahan,0.1401041829923228
wspd_tehran,0.1348614208672318
wspd_lag_1_isfahan,0.13415488917978255
wind_u_rasht,0.1310430083923527
wspd_lag_2_tehran,0.12736011167235978
wind_u_sanandaj,0.12449744130136203
wind_u_isfahan,0.11917742471907462
wspd_lag_1_tehran,0.10999141592935738
wind_v_isfahan,0.07824082818175099
wind_v_rasht,0.07683081082285032
wspd_sanandaj,0.06932194793123551
cumulative_prcp_mashhad,0.0553223547536298
cumulative_prcp_isfahan,0.04815344225186487
wspd_lag_1_sanandaj,0.04432613599933242
wspd_lag_3_sanandaj,0.04257643589457236
cumulative_prcp_sanandaj,0.03986165314281314
wspd_lag_2_sanandaj,0.03582628320989249
cumulative_prcp_tehran,0.033743780557141105
cumulative_prcp_rasht,0.022358870673883664
wdir_rasht,-0.036643467436239224
wdir_lag_1_rasht,-0.060524869163264515
prcp_rasht,-0.06211058527470829
wind_u_tehran,-0.06306174341878043
wspd_rasht,-0.063164978468715
prcp_wspd_interaction_rasht,-0.07022563089611775
wdir_lag_2_rasht,-0.07424849019517941
wdir_isfahan,-0.0743264756826652
wdir_lag_3_rasht,-0.074393494953871
wdir_lag_1_isfahan,-0.0785456563714106
prcp_lag_3_rasht,-0.08154346490610107
prcp_lag_1_rasht,-0.08801590748485323
wdir_lag_2_isfahan,-0.08947726855944642
prcp_lag_2_rasht,-0.09067272436027018
wdir_lag_3_isfahan,-0.0937911984036766
prcp_lag_3_mashhad,-0.10338054448593649
